Brand,Model,Price,Range,Power,Battery
Maruti,SuzukieVitara,15.99,440,142,49
Tata,PunchEV,9.69,275,87,30
Mahindra,XEV9e,21.9,542,228,59
Mahindra,BE6,18.9,557,228,59
MG,WindsorEV,14,332,134,38
MG,CometEV,7.5,230,41.42,17.3
MG,Cyberster,75,580,503,77
Tata,NexonEV,12.49,275,127,30
Tata,HarrierEV,21.49,538,235,65
Tata,TiagoEV,7.99,250,60.34,19.2
Hyundai,CretaElectric,18.02,473,133,42
Vayve,MobilityEva,3.25,175,16,12.6
Kia,EV6,65.97,663,321,84
MG,ZSEV,17.99,461,174.33,50.3
VinFast,VF7,21.89,438,174.33,59.6
Tata,CurvvEV,17.49,430,148,45
VinFast,VF6,17.29,468,174.33,59.6
MG,M9,69.9,548,242,90
BYD,Sealion7,49.4,567,308,82.56
BYD,Seal,41,510,201.15,61.44
BMW,iX1,49.9,531,204,66.4
Volvo,EX30,39.99,480,272,69
BYD,Atto3,24.99,468,201,49.92
Mahindra,XUV400EV,15.49,375,147.51,34.5
BMW,i4,72.5,483,335.25,70.2
Toyota,UrbanCruiserEBELLA,18,440,142.15,49
